link,price,year,mileage,title,fuel_type,gearbox,isPrivateSeller,Version,Color,Transmission,Country,Original_owner,No_accident,Type,Capacity,Power
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-200salonplfvat23-asomercedesamgx2premiumkeyllesnavi-ID6GYXjs.html,129 998,2019,119 741 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Biały","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Coupe,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-180-sobieslaw-zasada-automotive-fv-23-certified-coupe-ID6GB6W7.html,109 900,2019,85 621 km,Mercedes-Benz CLA 180,Benzyna,Manualna,FALSE,"Wersja
180","Kolor
Biały","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Coupe,1 332 cm3,136 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-220-shooting-brake-amg-line-7g-dct-ID6H596z.html,128 000,2019,90 233 km,Mercedes-Benz CLA 220 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
220 AMG Line 7G-DCT","Kolor
Biały","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Kombi,1 991 cm3,190 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-fv23-gwarancja-serwisowa-amg-97479-netto-ID6H88xK.html,119 900,2019,145 843 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Żółty",,,"Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Kombi,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-benzyna-amg-line-shooting-break-kamery-radary-gwarancja-ID6GSQlI.html,109 999,2019,106 301 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Czerwony","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Kombi,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-cla-220-4-matic-amg-line-ID6GjTeq.html,155 000,2019,75 000 km,Mercedes-Benz CLA 220 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
220 AMG Line 7G-DCT","Kolor
Szary","Napęd
4x4 (stały)","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Sedan,1 991 cm3,190 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-1-3-benzyna-136-km-automat-i-wlasciciel-salon-polska-ID6H5Z1Q.html,119 900,2019,37 000 km,Mercedes-Benz CLA 180 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
180 AMG Line 7G-DCT","Kolor
Czerwony","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Sedan,1 332 cm3,136 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-2020-cla200-salon-polska-f-vat23-szybki-leasing-okazja-ID6HaQ5B.html,114 900,2019,90 344 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE,,"Kolor
Czarny","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Sedan,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-2-0-benz-190-km-2019r-1-wlasciciel-warszawa-ID6GEf6X.html,119 999,2019,97 000 km,Mercedes-Benz CLA 220 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
220 AMG Line 7G-DCT","Kolor
Czarny","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Kombi,1 991 cm3,190 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla-shooting-brake-200-163km-faktura-23-vat-ID6HaPPN.html,122 950,2019,121 000 km,Mercedes-Benz CLA 200 Edition 1 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 Edition 1 7G-DCT","Kolor
Czarny","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Kombi,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-cla-200-vat-marza-salon-pl-serwis-aso-bezwypadkowy-ID6GSch4.html,95 900,2019,94 300 km,Mercedes-Benz CLA 200 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 7G-DCT","Kolor
Czarny","Front","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Kombi,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-cla-250-4matic-amg-line-ID6H7AiB.html,155 000,2019,81 174 km,Mercedes-Benz CLA 250 4-Matic AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
250 4-Matic AMG Line 7G-DCT","Kolor
Biały","Napęd
4x4 (stały)","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Coupe,1 991 cm3,224 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-200-salon-polska-serwis-aso-automat-skora-navi-klimatronic-ID6H7Xtx.html,115 000,2019,92 886 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE,,"Kolor
Czerwony","Front","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Kombi,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-cla-220-190km-2019r-amg-night-pakiet-ID6H05iJ.html,116 900,2019,131 000 km,Mercedes-Benz CLA 220 7G-DCT AMG Line,Benzyna,Automatyczna,FALSE,"Wersja
220 7G-DCT AMG Line","Kolor
Czarny","Front",,,"Bezwypadkowy
Tak",Coupe,1 991 cm3,190 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-pakiet-amg-pakiet-night-ambiente-shooting-brake-ID6H5RqX.html,118 900,2019,92 646 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,,,,,,,,,
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-shooting-brake-220-amg-line-7g-dct-ID6H2QRH.html,128 000,2019,46 465 km,Mercedes-Benz CLA 220 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
220 AMG Line 7G-DCT","Kolor
Biały","Front","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Kombi,1 991 cm3,190 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-py38693-200-amg-line-leasing-krajowy-ID6GOxeu.html,113 850,2019,105 031 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Biały","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Kombi,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-pl-bezw-aso-panorama-full-amg-2x-kpl-opon-ceramika-ID6H6jLx.html,139 900,2019,86 000 km,Mercedes-Benz CLA 220 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
220 AMG Line 7G-DCT","Kolor
Czerwony","Front","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Sedan,1 991 cm3,190 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-cla220-amg-line-ID6H0vPO.html,129 999,2019,74 600 km,Mercedes-Benz CLA 220 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
220 AMG Line 7G-DCT","Kolor
Szary","Front","Kraj pochodzenia
Belgia",,"Bezwypadkowy
Tak",Sedan,1 991 cm3,190 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-pakiet-amg-pakiet-night-ambiente-shooting-brake-ID6H3jpU.html,118 900,2019,92 646 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Czarny","Front","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Kombi,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-180d-vat-23-skora-navi-klimatronic-tempomat-parktronic-ID6H93Qd.html,79 997,2019,165 525 km,Mercedes-Benz CLA,Diesel,Manualna,FALSE,,"Kolor
Szary","Front","Kraj pochodzenia
Belgia",,"Bezwypadkowy
Tak",Kombi,1 461 cm3,116 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-stan-idealny-mercedes-cla-220-amg-line-7g-dct-ID6H5nXb.html,152 000,2019,60 000 km,Mercedes-Benz CLA 220 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,,,,,,,,,
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-163-km-salon-polska-1-wl-vat-23-serwis-aso-ambiente-ID6G5pYP.html,116 848,2019,107 112 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Szary","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Kombi,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-amg-line-swietny-stan-bezwypadkowy-panoramiczny-dach-ID6H7QX3.html,126 900,2019,76 000 km,Mercedes-Benz CLA 200 Shooting Brake 7G-DCT AMG Line,Benzyna,Automatyczna,FALSE,"Wersja
200 Shooting Brake 7G-DCT AMG Line","Kolor
Szary","Front","Kraj pochodzenia
Niemcy",,"Bezwypadkowy
Tak",Sedan,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedesbenz-cla-amg-line-220d-shooting-brake-2019r-2-2-diesel-170km-ID6GP6OA.html,102 500,2019,36 500 km,Mercedes-Benz CLA Shooting Brake 220 d 4Matic 7G-DCT AMG Line,Diesel,Automatyczna,FALSE,"Wersja
Shooting Brake 220 d 4Matic 7G-DCT AMG Line","Kolor
Czarny","Napęd
4x4 (stały)","Kraj pochodzenia
Włochy",,"Bezwypadkowy
Tak",Kombi,2 143 cm3,170 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-wyprzedazsalon-pl-1wlasc-bezw-amg-4x4-ceramika-2x-kpl-opon-ID6GJNTq.html,138 900,2019,99 980 km,Mercedes-Benz CLA 220 4-Matic AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
220 4-Matic AMG Line 7G-DCT","Kolor
Czerwony","Napęd
4x4 (stały)","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Sedan,1 991 cm3,190 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-krajowy-bezwypadek-led-krajowy-grzane-fotele-ambiente-ID6H60xy.html,106 900,2019,95 000 km,Mercedes-Benz CLA 200 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 7G-DCT","Kolor
Czarny","Front","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Kombi,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-zolta-strzala-mercedes-cla-amg-line-shooting-brake-ID6H6E0Z.html,129 999,2019,82 000 km,Mercedes-Benz CLA 220 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
220 AMG Line 7G-DCT","Kolor
Żółty","Front","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Kombi,1 991 cm3,190 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-cla-200amg-salon-polska-ID6H6DXa.html,131 000,2019,68 000 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Czarny","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Sedan,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-1-3-benzyna-163km-gwarancja-amg-line-alu-18-ambiente-led-panorama-ID6H5Wrx.html,115 500,2019,214 985 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Szary","Front","Kraj pochodzenia
Holandia",,"Bezwypadkowy
Tak",Sedan,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-cla-220-4-matic-amg-line-7g-dct-ID6H3Nb3.html,154 980,2019,48 000 km,Mercedes-Benz CLA 220 4-Matic AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
220 4-Matic AMG Line 7G-DCT","Kolor
Biały","Napęd
4x4 (stały)","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Sedan,1 991 cm3,190 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-salon-pl-1-wlasciciel-fv23-bezwypadkowy-ID6H7yQv.html,104 900,2019,85 000 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE,,"Kolor
Czarny","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Sedan,1 332 cm3,136 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-sliczny-merceescla-220-amg-full-salon-polska-ID6H7yPf.html,135 800,2019,77 000 km,Mercedes-Benz CLA 220 4-Matic AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
220 4-Matic AMG Line 7G-DCT","Kolor
Biały","Napęd
Na tylne koła","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Sedan,1 991 cm3,190 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-pierwszy-wlasciciel-ID6H9jUU.html,110 000,2019,80 000 km,Mercedes-Benz CLA,Benzyna,Automatyczna,FALSE,,"Kolor
Biały","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Kombi,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-shooting-brake-faktura-vat23-salon-polska-ID6GHtGG.html,125 460,2019,99 000 km,Mercedes-Benz CLA 220 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
220 AMG Line 7G-DCT","Kolor
Biały","Front","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Kombi,1 991 cm3,190 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-pierwszy-wlasciciel-mercedes-benz-cla-200-amg-line-7g-dct-ID6GG30C.html,91 020,2019,204 000 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Biały","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Kombi,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-stan-idealny-jak-nowy-ID6H2FF3.html,139 900,2019,34 000 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Czarny","Front","Kraj pochodzenia
Polska","Pierwszy właściciel (od nowości)
Tak","Bezwypadkowy
Tak",Coupe,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-cla200-salon-polska-ID6GtasX.html,112 500,2019,125 000 km,Mercedes-Benz CLA 200 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
200 AMG Line 7G-DCT","Kolor
Czarny","Front","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Kombi,1 332 cm3,163 KM
https://www.otomoto.pl/osobowe/oferta/mercedes-benz-cla-mercedes-benz-cla-220-amg-line-7g-dct-ID6H3dsV.html,120 500,2019,149 000 km,Mercedes-Benz CLA 220 AMG Line 7G-DCT,Benzyna,Automatyczna,FALSE,"Wersja
220 AMG Line 7G-DCT","Kolor
Czarny","4matic","Kraj pochodzenia
Polska",,"Bezwypadkowy
Tak",Coupe,1 991 cm3,190 KM
